Features,C,Gamma,CV_F1_Mean,CV_F1_Std
98,100,scale,0.8682457054484409,0.004194968395547045
98,50,scale,0.867782163947776,0.004335774673263411
98,100,0.01,0.8677565294926818,0.004263011484843997
98,50,0.01,0.8668049278882676,0.003967990020035771
90,100,scale,0.8667002373430366,0.007329240745872338
90,50,scale,0.8666981941786821,0.003336546658515004
90,50,0.01,0.8656360230413888,0.006132010368518253
90,100,0.01,0.8636135192357215,0.002287082338594231
80,50,scale,0.8603527163853371,0.006211194313131924
80,100,scale,0.8602110381404167,0.005540153820516712
80,100,0.01,0.860050082848966,0.007729085997100576
98,10,scale,0.8595421446700878,0.003689901098212566
98,10,0.01,0.8593918660423144,0.0037675942596930084
80,50,0.01,0.8585577303236289,0.004166788148182995
70,100,scale,0.8575138921787646,0.010649307497855642
70,50,scale,0.8564276061749793,0.006067853283252315
90,10,scale,0.8551560788716622,0.001049282467781811
90,10,0.01,0.8535331386707413,0.002075801911379586
70,100,0.01,0.8522112027799729,0.008794459275560258
70,50,0.01,0.8500263270183618,0.0045879460557967724
80,10,scale,0.8498160529670885,0.007748739259362939
70,10,scale,0.8457314121121033,0.008026371241679963
70,10,0.1,0.8450527300066538,0.004257641729475539
80,10,0.01,0.8447744814659425,0.0016557700771200048
70,100,0.1,0.8440301439164181,0.004987804474299484
70,50,0.1,0.8439763151457021,0.0039926606887872775
80,10,0.1,0.8336569842868169,0.004542473302526102
70,10,0.01,0.8331819068617504,0.005240927200448656
80,50,0.1,0.8295589247250993,0.004292886256870912
80,100,0.1,0.8293528674924048,0.0014414816914106762
90,10,0.1,0.8202231207884464,0.009078954190288275
90,50,0.1,0.8196440323030559,0.00936294136591251
90,100,0.1,0.8182644691466859,0.008926372197074496
70,1,0.1,0.8181521992482645,0.00032638296969482146
80,1,0.1,0.8088587924275382,0.00667990666501941
98,50,0.1,0.8034703021930399,0.011021358928915061
98,100,0.1,0.8034703021930399,0.011021358928915061
98,10,0.1,0.8034703021930399,0.011021358928915061
90,1,0.1,0.7931799965332238,0.009298468755821096
90,1,scale,0.7893511020104427,0.006279495253462861
98,1,0.01,0.789232015409638,0.004379270036041441
98,1,scale,0.7889533441818881,0.0048242911549649355
90,1,0.01,0.7808506259245704,0.007969980696645536
80,1,scale,0.7794894072794555,0.008025562830830234
70,1,scale,0.7746134408293472,0.010861178127869355
98,1,0.1,0.773762871445824,0.008429953523842012
80,1,0.01,0.7714015346378661,0.007086827049407497
70,1,0.01,0.7568894869249725,0.008633207255100146
