Feature,Importance
lbp_4,0.026089742295548893
lbp_std,0.02336076837827473
lbp_0,0.022571717825051164
edge_density,0.022205596183523753
glcm_homogeneity_std,0.021403715722596493
lbp_9,0.019969007365282277
gradient_mean,0.019287427835574078
glcm_homogeneity,0.01915222579223848
std_A,0.01906862240941506
max_A,0.018603049964584447
glcm_contrast,0.0180673065774293
gradient_std,0.018025650506593608
std_H,0.016868541986669542
red_green_difference_std,0.01584703380532765
glcm_dissimilarity,0.0157354971861806
glcm_dissimilarity_std,0.015122698513146475
lbp_7,0.015105570184435526
lbp_mean,0.015027160637850773
lbp_5,0.014610725564487307
lbp_6,0.014486596729092662
glcm_energy_std,0.014210284641469062
lbp_3,0.01411342954697017
lbp_8,0.013973889119505832
mean_A,0.012786887414231314
lbp_2,0.012482727767692142
glcm_contrast_std,0.012337384500458412
lbp_1,0.012261627722000446
min_A,0.011537169799485613
mean_H,0.011354133883449415
G_hist_0,0.010909569686085358
red_green_difference_mean,0.010589440825600925
min_H,0.010490659308186243
R_hist_0,0.01048479894991845
glcm_correlation,0.010151740011209094
std_LAB_B,0.009876958444128288
G_hist_6,0.009829306899228082
glcm_correlation_std,0.009519828337532127
glcm_ASM_std,0.00925871024828902
std_V,0.009153560671328042
G_hist_3,0.009027069893051496
B_hist_0,0.00897738369133535
min_V,0.00897388801848521
min_R,0.008972318553816527
glcm_energy,0.008947496053579428
red_ratio_mean,0.008829794685290732
R_hist_2,0.008802472315757039
max_LAB_B,0.008611628613810745
red_ratio_std,0.008599778347952346
glcm_ASM,0.008597653575492852
G_hist_1,0.008540938789633697
mean_G,0.00841334662082691
R_hist_1,0.00840857547168551
mean_S,0.008335014419317584
redness_percentage,0.008243223767267778
min_gray,0.007985222305775167
std_R,0.007840580015323428
G_hist_5,0.007807946679177461
B_hist_3,0.007781494934182676
mean_LAB_B,0.007711974784539477
min_L,0.00753508328033507
G_hist_2,0.007483017069767581
min_LAB_B,0.007404446199551801
std_S,0.007316810180092437
brightness_std,0.007309973162954626
R_hist_3,0.007295524033772702
max_G,0.007255996727017312
R_hist_5,0.0070958579125209005
R_hist_4,0.0070642006062310615
max_gray,0.007054821288347703
brightness,0.007029443210999765
max_L,0.007002931519710839
std_gray,0.00694079928223622
std_L,0.006853449589638505
mean_L,0.006833034329050559
mean_R,0.006766966597256092
B_hist_1,0.0066378902214899145
std_G,0.006629933963466974
R_hist_7,0.0065872053167422995
mean_gray,0.006514701439640192
G_hist_4,0.006496467265532565
R_hist_6,0.006466409687507877
B_hist_4,0.006426648882524997
std_B,0.006411765765629591
min_G,0.0063932412605035545
mean_V,0.006366359984729742
B_hist_2,0.006235585569471902
B_hist_5,0.006193423411389294
mean_B,0.0061520704518451715
min_S,0.006009378747460024
max_B,0.005889752551434104
B_hist_6,0.005526300185459268
max_H,0.004730262504397857
min_B,0.0046640661454703
G_hist_7,0.004491879964984793
max_S,0.004336438007116953
max_R,0.0038185200271612972
max_V,0.0038130706105182917
B_hist_7,0.0036277082696676223
