Feature_1,Feature_2,Correlation
mean_gray,brightness,1.0
std_gray,brightness_std,1.0
mean_L,brightness,0.9988978446406114
mean_L,mean_gray,0.9988978446406114
max_L,max_gray,0.9988383282731973
std_L,std_gray,0.9956774909700571
std_L,brightness_std,0.9956774909700571
mean_R,mean_V,0.995244901417295
min_L,min_gray,0.9946033500602454
min_R,min_V,0.993793690955831
std_R,std_V,0.9925338783516188
max_G,max_L,0.989089267677017
mean_G,brightness,0.9890117571018824
mean_G,mean_gray,0.9890117571018824
mean_G,mean_L,0.9861159149399386
std_G,std_gray,0.9853826153180304
std_G,brightness_std,0.9853826153180304
max_G,max_gray,0.9838860455099762
lbp_0,lbp_9,0.9811047533512728
lbp_9,lbp_std,0.9787501154196621
max_R,max_V,0.9769633072137178
min_V,min_L,0.9708907859743806
std_G,std_L,0.9703038068542891
G_hist_0,B_hist_0,0.9702344169158337
R_hist_0,G_hist_0,0.9694397770283232
std_V,std_L,0.9688980171891977
lbp_0,lbp_std,0.9688637681530479
min_G,min_gray,0.9683414889926534
min_R,min_L,0.9655332676569898
std_R,std_L,0.9624896468802163
glcm_energy,glcm_ASM,0.9600042804484058
min_V,min_gray,0.9599568372238257
mean_V,mean_L,0.9596356938265524
mean_A,red_green_difference_mean,0.9591925769220954
std_G,std_B,0.9553107225297635
mean_V,brightness,0.9542011189872315
mean_V,mean_gray,0.9542011189872315
min_R,min_gray,0.9541912624540059
mean_R,mean_L,0.9532397290924838
min_G,min_L,0.952144175169728
std_V,std_gray,0.9512622513371084
std_V,brightness_std,0.9512622513371084
mean_R,mean_gray,0.9485479137862602
mean_R,brightness,0.9485479137862602
std_R,std_gray,0.9463409550151038
std_R,brightness_std,0.9463409550151038
lbp_7,lbp_9,0.9439258784157251
lbp_5,lbp_std,0.9424289116139171
lbp_1,lbp_9,0.9423025912644019
G_hist_7,B_hist_7,0.9406049907691497
lbp_1,lbp_7,0.9384869715330422
lbp_8,lbp_mean,0.9381780808223734
std_A,red_green_difference_std,0.9371306268427136
lbp_4,lbp_std,0.9345221829989638
lbp_7,lbp_std,0.9340988964360315
lbp_1,lbp_std,0.9337350538710075
mean_G,mean_B,0.928455643464243
R_hist_0,B_hist_0,0.9275300483943902
std_B,brightness_std,0.9236243089758881
std_B,std_gray,0.9236243089758881
max_G,max_B,0.9222130560080669
max_B,max_gray,0.9198256991062584
max_B,max_L,0.917344043690951
mean_B,mean_gray,0.9159563121203935
mean_B,brightness,0.9159563121203935
glcm_dissimilarity,glcm_homogeneity,0.9139739626785571
lbp_0,lbp_5,0.913032480921554
lbp_0,lbp_1,0.9105299183768805
glcm_contrast_std,gradient_std,0.9081772831167111
lbp_5,lbp_9,0.9064519107771571
mean_B,mean_L,0.9061287462245825
lbp_0,lbp_7,0.9049881553838243
min_G,min_B,0.9038225541030683
mean_G,mean_V,0.9036129954998624
lbp_3,lbp_4,0.9018257574581581
