Feature,MI_Score
lbp_std,0.3819870079816554
lbp_4,0.3815795890588429
lbp_0,0.3792413734116864
lbp_9,0.3748150606169469
glcm_homogeneity_std,0.3370472604662438
lbp_5,0.3242026496099384
lbp_3,0.321417409101469
lbp_mean,0.3194006587623557
lbp_7,0.31290242389392997
glcm_energy_std,0.295920503881856
glcm_dissimilarity_std,0.2838692222624837
lbp_8,0.27327650727680464
lbp_1,0.26752719137191505
glcm_contrast_std,0.22991394121463316
gradient_std,0.2267051006105132
mean_G,0.22569968389687167
std_H,0.22314232632598507
glcm_dissimilarity,0.21167701192427124
mean_H,0.21109582136144445
glcm_ASM_std,0.20525172587456275
glcm_contrast,0.200621721844227
glcm_homogeneity,0.19782815339456894
mean_L,0.19610723590580426
B_hist_0,0.1949794801292679
mean_gray,0.19485324386185265
brightness,0.1948422281553599
G_hist_6,0.1908937305757532
std_LAB_B,0.18843831586114224
R_hist_0,0.1871323549453372
G_hist_0,0.18610465394741382
gradient_mean,0.1855508330873885
mean_A,0.18484358252484734
min_A,0.18341544745583116
edge_density,0.18117136002909628
red_ratio_std,0.17710308554555176
glcm_correlation_std,0.17560738891405325
std_V,0.17486347051697315
G_hist_3,0.17421654900822814
mean_V,0.17331416964197732
std_R,0.17251611295722968
glcm_energy,0.17060974949031005
std_S,0.16951828810810632
lbp_6,0.16861714209909984
std_A,0.16825803571928422
red_green_difference_std,0.16802977211191017
mean_B,0.16752103462838042
G_hist_5,0.16689008096426905
std_G,0.1648586464034536
red_green_difference_mean,0.16312620989415239
mean_R,0.16308104140565804
std_L,0.16305912585046656
std_B,0.16180006627225874
R_hist_7,0.15380847917854945
std_gray,0.15249766306563606
brightness_std,0.15249766306563606
mean_LAB_B,0.15192317769487085
G_hist_2,0.14957076188333085
glcm_ASM,0.147944179549663
red_ratio_mean,0.1437402158406873
G_hist_7,0.1410774704995026
B_hist_5,0.13702601532537217
lbp_2,0.1360520481996743
redness_percentage,0.13499739315760717
mean_S,0.13398247583308898
glcm_correlation,0.13393073609779504
B_hist_3,0.13280549845689293
R_hist_2,0.12912053304609783
R_hist_5,0.1265373210074019
R_hist_4,0.1254929569477321
B_hist_6,0.12332220517229464
R_hist_6,0.1213233833165277
G_hist_1,0.12064846935440876
G_hist_4,0.12046868389005327
R_hist_1,0.1180279025195623
max_gray,0.11665167916130414
max_G,0.11576215888434005
B_hist_4,0.11350185304964899
R_hist_3,0.11278805250157076
max_L,0.1127352510202404
B_hist_7,0.11063429339306552
B_hist_2,0.10899553060223433
max_A,0.10896235076229743
B_hist_1,0.1078245811708487
min_V,0.09792318870998029
min_L,0.09756916502243795
min_gray,0.09747786046985807
min_R,0.09589480927172644
min_S,0.09574740758965605
max_B,0.09430253652927245
min_LAB_B,0.0913983993889329
max_V,0.0765201047737536
max_LAB_B,0.07248180571714169
min_G,0.07175261889146123
max_S,0.06944447205050253
max_R,0.06919664558740735
min_B,0.061644769611495676
min_H,0.05710633057228787
max_H,0.0566248836048695
